Mount     ALT  LIMIT-         20160905.11:57:30.728    	ALT  LIMIT-                                                                                        
Mount     ALT  LIMIT+         20160905.11:57:32.729    	ALT  LIMIT+                                                                                        
Mount     ALT  LIMIT-         20160905.11:57:32.730    	ALT  LIMIT-                                                                                        
Mount     ALT  LIMIT+         20160905.11:57:34.720    	ALT  LIMIT+                                                                                        
Mount     ALT  LIMIT-         20160905.11:57:34.720    	ALT  LIMIT-                                                                                        
Mount     ALT  LIMIT+         20160905.11:57:36.736    	ALT  LIMIT+                                                                                        
Mount     ALT  LIMIT-         20160905.11:57:36.736    	ALT  LIMIT-                                                                                        
Mount     ALT  LIMIT+         20160905.11:57:38.732    	ALT  LIMIT+                                                                                        
Mount     ALT  LIMIT-         20160905.11:57:38.732    	ALT  LIMIT-                                                                                        
Mount     ALT  LIMIT+         20160905.11:57:40.727    	ALT  LIMIT+                                                                                        
Mount     ALT  LIMIT-         20160905.11:57:40.728    	ALT  LIMIT-                                                                                        
Mount     ALT  LIMIT+         20160905.12:02:58.674    	ALT  LIMIT+                                                                                        
Mount     ALT  LIMIT-         20160905.12:02:58.674    	ALT  LIMIT-                                                                                        
Mount     ALT  LIMIT+         20160905.12:03:05.063    	ALT  LIMIT+                                                                                        
Mount     ALT  LIMIT-         20160905.12:03:05.063    	ALT  LIMIT-                                                                                        
Mount     ALT  LIMIT+         20160905.12:03:17.299    	ALT  LIMIT+                                                                                        
Mount     ALT  LIMIT-         20160905.12:03:17.299    	ALT  LIMIT-                                                                                        
Mount     ALT  LIMIT+         20160905.12:03:55.270    	ALT  LIMIT+                                                                                        
Mount     ALT  LIMIT-         20160905.12:03:55.270    	ALT  LIMIT-                                                                                        
Mount     ALT  LIMIT+         20160905.12:05:10.096    	ALT  LIMIT+                                                                                        
Mount     ALT  LIMIT-         20160905.12:05:10.096    	ALT  LIMIT-                                                                                        
Mount     ALT  LIMIT+         20160905.12:05:12.210    	ALT  LIMIT+                                                                                        
Mount     ALT  LIMIT-         20160905.12:05:12.211    	ALT  LIMIT-                                                                                        
Mount     ALT  LIMIT+         20160905.12:07:07.326    	ALT  LIMIT+                                                                                        
Mount     ALT  LIMIT-         20160905.12:07:07.326    	ALT  LIMIT-                                                                                        
Mount     ALT  LIMIT+         20160905.12:07:09.434    	ALT  LIMIT+                                                                                        
Mount     ALT  LIMIT-         20160905.12:07:09.434    	ALT  LIMIT-                                                                                        
Mount     ALT  LIMIT+         20160905.12:07:11.427    	ALT  LIMIT+                                                                                        
Mount     ALT  LIMIT-         20160905.12:07:11.427    	ALT  LIMIT-                                                                                        
Mount     ALT  LIMIT+         20160905.12:07:13.424    	ALT  LIMIT+                                                                                        
