Mount     ALT  LIMIT-         20160629.10:48:42.282    	ALT  LIMIT-                                                                                        
Mount     AZ  LIMIT-          20160629.10:48:44.282    	AZ  LIMIT-                                                                                         
Mount     ALT  LIMIT-         20160629.10:48:44.282    	ALT  LIMIT-                                                                                        
Mount     AZ  LIMIT-          20160629.10:48:46.282    	AZ  LIMIT-                                                                                         
Mount     ALT  LIMIT-         20160629.10:48:46.283    	ALT  LIMIT-                                                                                        
Mount     AZ  LIMIT-          20160629.10:48:48.282    	AZ  LIMIT-                                                                                         
Mount     ALT  LIMIT-         20160629.10:48:48.282    	ALT  LIMIT-                                                                                        
Mount     AZ  LIMIT-          20160629.10:48:50.282    	AZ  LIMIT-                                                                                         
Mount     ALT  LIMIT-         20160629.10:48:50.283    	ALT  LIMIT-                                                                                        
Mount     AZ  LIMIT-          20160629.10:48:52.282    	AZ  LIMIT-                                                                                         
Mount     ALT  LIMIT-         20160629.10:48:52.282    	ALT  LIMIT-                                                                                        
Mount     AZ  LIMIT-          20160629.10:48:54.282    	AZ  LIMIT-                                                                                         
Mount     ALT  LIMIT-         20160629.10:48:54.282    	ALT  LIMIT-                                                                                        
Mount     AZ  LIMIT-          20160629.10:48:56.283    	AZ  LIMIT-                                                                                         
Mount     ALT  LIMIT-         20160629.10:48:56.283    	ALT  LIMIT-                                                                                        
Mount     AZ  LIMIT-          20160629.10:48:58.282    	AZ  LIMIT-                                                                                         
Mount     ALT  LIMIT-         20160629.10:48:58.282    	ALT  LIMIT-                                                                                        
Mount     AZ  LIMIT-          20160629.10:49:00.282    	AZ  LIMIT-                                                                                         
Mount     ALT  LIMIT-         20160629.10:49:00.282    	ALT  LIMIT-                                                                                        
Mount     AZ  LIMIT-          20160629.10:49:02.282    	AZ  LIMIT-                                                                                         
Mount     ALT  LIMIT-         20160629.10:49:02.282    	ALT  LIMIT-                                                                                        
Mount     AZ  LIMIT-          20160629.10:49:04.283    	AZ  LIMIT-                                                                                         
Mount     ALT  LIMIT-         20160629.10:49:04.283    	ALT  LIMIT-                                                                                        
Mount     AZ  LIMIT-          20160629.10:49:06.283    	AZ  LIMIT-                                                                                         
Mount     ALT  LIMIT-         20160629.10:49:06.283    	ALT  LIMIT-                                                                                        
Mount     AZ  LIMIT-          20160629.10:49:08.284    	AZ  LIMIT-                                                                                         
Mount     ALT  LIMIT-         20160629.10:49:08.284    	ALT  LIMIT-                                                                                        
Mount     AZ  LIMIT-          20160629.10:49:10.283    	AZ  LIMIT-                                                                                         
Mount     ALT  LIMIT-         20160629.10:49:10.283    	ALT  LIMIT-                                                                                        
Mount     AZ  LIMIT-          20160629.10:49:12.283    	AZ  LIMIT-                                                                                         
Mount     ALT  LIMIT-         20160629.10:49:12.283    	ALT  LIMIT-                                                                                        
Mount     AZ  LIMIT-          20160629.10:49:14.283    	AZ  LIMIT-                                                                                         
Mount     ALT  LIMIT-         20160629.10:49:14.284    	ALT  LIMIT-                                                                                        
Mount     AZ  LIMIT-          20160629.10:49:16.283    	AZ  LIMIT-                                                                                         
Mount     ALT  LIMIT-         20160629.10:49:16.283    	ALT  LIMIT-                                                                                        
Mount     AZ  LIMIT-          20160629.10:49:18.283    	AZ  LIMIT-                                                                                         
Mount     ALT  LIMIT-         20160629.10:49:18.283    	ALT  LIMIT-                                                                                        
Mount     AZ  LIMIT-          20160629.10:49:20.282    	AZ  LIMIT-                                                                                         
Mount     ALT  LIMIT-         20160629.10:49:20.282    	ALT  LIMIT-                                                                                        
Mount     AZ  LIMIT-          20160629.10:49:22.283    	AZ  LIMIT-                                                                                         
Mount     ALT  LIMIT-         20160629.10:49:22.283    	ALT  LIMIT-                                                                                        
Mount     AZ  LIMIT-          20160629.10:49:24.283    	AZ  LIMIT-                                                                                         
Mount     ALT  LIMIT-         20160629.10:49:24.283    	ALT  LIMIT-                                                                                        
Mount     AZ  LIMIT-          20160629.10:49:26.283    	AZ  LIMIT-                                                                                         
Mount     ALT  LIMIT-         20160629.10:49:26.283    	ALT  LIMIT-                                                                                        
Mount     AZ  LIMIT-          20160629.10:49:28.283    	AZ  LIMIT-                                                                                         
Mount     ALT  LIMIT-         20160629.10:49:28.283    	ALT  LIMIT-                                                                                        
Mount     AZ  LIMIT-          20160629.10:49:30.283    	AZ  LIMIT-                                                                                         
Mount     ALT  LIMIT-         20160629.10:49:30.283    	ALT  LIMIT-                                                                                        
Mount     AZ  LIMIT-          20160629.10:49:32.283    	AZ  LIMIT-                                                                                         
Mount     ALT  LIMIT-         20160629.10:49:32.283    	ALT  LIMIT-                                                                                        
Mount     AZ  LIMIT-          20160629.10:49:34.282    	AZ  LIMIT-                                                                                         
Mount     ALT  LIMIT-         20160629.10:49:34.282    	ALT  LIMIT-                                                                                        
Mount     AZ  LIMIT-          20160629.10:49:36.282    	AZ  LIMIT-                                                                                         
Mount     ALT  LIMIT-         20160629.10:49:36.282    	ALT  LIMIT-                                                                                        
Mount     AZ  LIMIT-          20160629.10:49:38.282    	AZ  LIMIT-                                                                                         
Mount     ALT  LIMIT-         20160629.10:49:38.283    	ALT  LIMIT-                                                                                        
Mount     AZ  LIMIT-          20160629.10:49:40.283    	AZ  LIMIT-                                                                                         
